read 4096
X,Y
5,75.861054541
10,147.123258192
1,10.846732735
read 8192
X,Y
1,14.115404479
5,62.489873702
10,120.438078093
read 16384
X,Y
1,10.375032806
10,114.955469383
5,50.452294838
